timestamp,CH0_pF,CH1_pF,CH2_pF,CH3_pF
54.162,269.243982,258.311695,358.586852,266.168231
54.263,269.238586,258.313415,358.666828,266.166885
54.372,269.242386,258.318000,358.875829,266.168492
54.485,269.243184,258.318788,359.233990,266.171147
54.591,269.239650,258.308937,359.277410,266.168754
54.702,269.241018,258.305533,359.526824,266.171408
54.815,269.242082,258.305032,359.574206,266.170062
54.952,269.243450,258.306608,359.612049,266.168754
55.058,269.244514,258.307110,359.484797,266.171408
55.166,269.243184,258.304781,359.355253,266.175969
55.279,269.243184,258.304100,359.340372,266.174885
55.388,269.243184,258.305283,359.292805,266.170586
55.495,269.249378,258.305820,359.333880,266.167969
55.615,269.250214,258.306608,359.194768,266.169838
55.733,269.251544,258.303814,358.847787,266.170623
55.839,269.242082,258.308937,358.597964,266.167408
55.943,269.241550,258.308399,358.536622,266.166623
56.056,269.241018,258.309868,358.539657,266.163969
56.169,269.243982,258.307110,358.589372,266.167670
56.300,269.241018,258.303742,358.561649,266.167371
56.408,269.241816,258.304100,358.493215,266.167633
56.520,269.241018,258.304351,358.486001,266.168492
56.628,269.241284,258.306608,358.492643,266.169838
56.746,269.242348,258.304100,358.534102,266.176193
56.847,269.239954,258.308328,358.528547,266.172418
56.959,269.246148,258.307360,358.527287,266.166623
57.072,269.246946,258.305390,358.512112,266.168754
57.191,269.248314,258.304495,358.531410,266.167147
57.306,269.242652,258.306321,358.562394,266.168717
57.412,269.241550,258.312734,358.600256,266.166362
57.529,269.242348,258.310656,358.604036,266.164231
57.636,269.240752,258.308937,358.565601,266.166623
57.749,269.243450,258.305820,358.691697,266.168492
57.873,269.243450,258.307110,358.769300,266.169838
57.981,269.242652,258.308829,358.758753,266.168231
58.097,269.241816,258.310907,358.852375,266.170586
58.201,269.238852,258.312376,359.025205,266.174025
58.313,269.242386,258.312376,359.034903,266.170848
58.433,269.253709,258.310405,359.042593,266.166848
58.548,269.262906,258.309617,358.857363,266.167969
58.662,269.263172,258.307898,358.726942,266.166063
58.765,269.257775,258.306859,358.766434,266.165016
58.880,269.247250,258.308148,358.801002,266.166399
59.004,269.245882,258.310907,358.860059,266.166100
59.113,269.245882,258.312232,358.903414,266.167147
59.228,269.244818,258.304100,359.039723,266.167371
59.330,269.244248,258.302274,359.085980,266.166885
59.443,269.244248,258.304853,359.019869,266.165539
59.572,269.243450,258.303205,359.090113,266.170324
59.678,269.247516,258.304853,359.434960,266.174025
59.792,269.274800,258.304100,359.971328,266.172754
59.898,269.267238,258.302274,360.332105,266.167969
60.007,269.254545,258.300447,360.526572,266.166885
60.135,269.256141,258.304495,360.452114,266.166362
60.244,269.257509,258.305032,360.600243,266.167670
60.351,269.251278,258.306608,360.795208,266.169016
60.465,269.253975,258.312734,360.779374,266.169240
60.572,269.252379,258.312913,360.820983,266.166885
60.701,269.252113,258.305533,360.854160,266.168231
60.809,269.253443,258.305820,360.883642,266.168231
60.917,269.253975,258.304351,360.919949,266.167109
61.031,269.256141,258.309868,360.921395,266.170362
61.137,269.255077,258.308937,360.957072,266.177240
61.250,269.254811,258.307110,360.909080,266.178062
61.372,269.254545,258.307289,360.787811,266.172455
61.480,269.258041,258.307289,360.824104,266.171147
61.597,269.261804,258.306608,360.782610,266.167670
61.702,269.260473,258.307790,360.836762,266.171932
61.815,269.252911,258.312232,360.846646,266.170848
61.940,269.252645,258.312734,360.891042,266.166063
62.049,269.251544,258.312913,360.886532,266.165801
62.164,269.252113,258.307360,360.906247,266.166399
62.267,269.250746,258.307289,360.913358,266.165801
62.380,269.251544,258.305820,360.917232,266.166623
62.501,269.251012,258.305820,360.907287,266.166100
62.616,269.252645,258.305820,360.888325,266.169539
62.731,269.252911,258.307110,360.910525,266.175109
62.832,269.252911,258.308041,360.949670,266.171408
62.946,269.256407,258.308686,360.972454,266.170062
63.070,269.261271,258.308686,360.961640,266.170623
63.178,269.260473,258.307110,360.952793,266.168492
63.294,269.251810,258.308328,360.982401,266.169539
63.397,269.250746,258.312483,360.978064,266.168978
63.510,269.252645,258.313665,360.946085,266.168492
63.638,269.253177,258.308829,360.960888,266.169838
63.748,269.252645,258.307110,360.981302,266.171670
63.865,269.252911,258.305533,360.931282,266.170848
63.966,269.252645,258.307790,360.868496,266.170848
64.076,269.252911,258.307110,360.859767,266.174847
64.210,269.254545,258.308148,360.846415,266.179371
64.310,269.256141,258.309080,360.877688,266.174025
64.419,269.257243,258.307790,360.895725,266.172455
64.533,269.261271,258.309187,360.904050,266.170062
64.641,269.259941,258.307110,360.913011,266.170062
64.776,269.256673,258.309617,360.971182,266.170586
64.876,269.254241,258.314991,360.961987,266.171670
64.983,269.254545,258.314203,360.945391,266.171147
65.097,269.253975,258.308686,360.945391,266.170062
65.206,269.254811,258.309868,360.971413,266.171894
65.331,269.252911,258.308328,360.862889,266.168754
65.443,269.253975,258.307360,360.834392,266.169838
65.548,269.252075,258.305820,360.810869,266.174847
65.663,269.253709,258.307790,361.143865,266.177203
65.771,269.252911,258.308328,361.095953,266.173539
65.900,269.255609,258.309868,360.649504,266.170848
66.008,269.262108,258.309366,360.647310,266.171932
66.112,269.260473,258.307647,360.680117,266.170848
66.226,269.257775,258.308399,360.666312,266.170062
66.336,269.252379,258.311695,360.657937,266.169801
66.470,269.252911,258.311444,360.692421,266.170848
66.572,269.252645,258.307360,360.639224,266.168231
66.688,269.250746,258.305820,360.663193,266.166362
66.792,269.251278,258.307647,360.683583,266.168492
66.901,269.252075,258.307647,360.622996,266.171894
67.029,269.254811,258.308578,360.604401,266.174847
67.137,269.250480,258.306321,360.595970,266.176193
67.254,269.253177,258.305283,360.601571,266.173277
67.354,269.254241,258.305283,360.575414,266.167371
67.466,269.256141,258.304781,360.581881,266.168754
67.600,269.258041,258.308148,360.548163,266.169240
67.701,269.260473,258.305533,360.572700,266.168978
