row_index,col_index,capacitance_pF
0,0,50533.47059256246
0,0,50533.47059256246
0,1,49076.07499916181
0,1,49076.07499916181
0,2,50542.71319866469
0,2,50542.71319866469
0,3,48774.06989438632
0,3,48774.06989438632
0,4,45559.94510214095
0,4,45559.94510214095
0,5,45678.25548932955
0,5,45678.25548932955
0,6,45284.64785571366
0,6,45284.64785571366
0,7,45172.87326040947
0,7,45172.87326040947
1,0,50524.95231076954
1,0,50524.95231076954
1,1,49073.88987067112
1,1,49073.88987067112
1,2,50545.5027253019
1,2,50545.5027253019
1,3,48793.42428555396
1,3,48793.42428555396
1,4,45573.545477818894
1,4,45573.545477818894
1,5,45675.021463483674
1,5,45675.021463483674
1,6,45295.513444425516
1,6,45295.513444425516
1,7,45190.84140566928
1,7,45190.84140566928
2,0,51123.81168761533
2,0,51123.81168761533
2,1,49674.406219267825
2,1,49674.406219267825
2,2,51144.9307468799
2,2,51144.9307468799
2,3,49403.94289120831
2,3,49403.94289120831
2,4,46180.921543358025
2,4,46180.921543358025
2,5,46283.33445747064
2,5,46283.33445747064
2,6,45893.85328862822
2,6,45893.85328862822
2,7,45768.64446945991
2,7,45768.64446945991
3,0,51192.36077622176
3,0,51192.36077622176
3,1,49926.147853664086
3,1,49926.147853664086
3,2,51186.32491286961
3,2,51186.32491286961
3,3,51873.02498035579
3,3,51873.02498035579
3,4,46167.237535519846
3,4,46167.237535519846
3,5,46205.238270113354
3,5,46205.238270113354
3,6,45793.54711361526
3,6,45793.54711361526
3,7,46019.78052794344
3,7,46019.78052794344
4,0,45957.29618521712
4,0,45957.29618521712
4,1,46374.90743123347
4,1,46374.90743123347
4,2,45976.46278896339
4,2,45976.46278896339
4,3,46410.38470669178
4,3,46410.38470669178
4,4,40908.66625201564
4,4,40908.66625201564
4,5,40995.96225624606
4,5,40995.96225624606
4,6,40610.17542302028
4,6,40610.17542302028
4,7,40495.04386803724
4,7,40495.04386803724
5,0,45993.25907714537
5,0,45993.25907714537
5,1,46103.571904874356
5,1,46103.571904874356
5,2,46010.57420989921
5,2,46010.57420989921
5,3,46492.943870669966
5,3,46492.943870669966
5,4,40982.07130431707
5,4,40982.07130431707
5,5,41072.392997759256
5,5,41072.392997759256
5,6,40688.03302060692
5,6,40688.03302060692
5,7,40573.36904288423
5,7,40573.36904288423
6,0,45665.30594125609
6,0,45665.30594125609
6,1,46242.55123039523
6,1,46242.55123039523
6,2,45684.2979110857
6,2,45684.2979110857
6,3,46120.82347321831
6,3,46120.82347321831
6,4,40611.644818677865
6,4,40611.644818677865
6,5,40698.68925147055
6,5,40698.68925147055
6,6,40313.47344763143
6,6,40313.47344763143
6,7,40197.839613237586
6,7,40197.839613237586
7,0,45570.78627293941
7,0,45570.78627293941
7,1,46079.37467158567
7,1,46079.37467158567
7,2,45578.49257890023
7,2,45578.49257890023
7,3,46026.15756179557
7,3,46026.15756179557
7,4,40531.08894612782
7,4,40531.08894612782
7,5,40619.1750973466
7,5,40619.1750973466
7,6,40234.995219325596
7,6,40234.995219325596
7,7,40119.09853255466
7,7,40119.09853255466
0,0,50947.35259533574
0,0,50947.35259533574
0,1,49435.4598181548
0,1,49435.4598181548
0,2,51087.09807907073
0,2,51087.09807907073
0,3,52096.917063795365
0,3,52096.917063795365
0,4,46108.078562340124
0,4,46108.078562340124
0,5,46083.57912548815
0,5,46083.57912548815
0,6,45696.347549612066
0,6,45696.347549612066
0,7,45575.39281664558
0,7,45575.39281664558
1,0,50989.22969394397
1,0,50989.22969394397
1,1,51801.85887158828
1,1,51801.85887158828
1,2,50923.142105798936
1,2,50923.142105798936
1,3,51786.22010961354
1,3,51786.22010961354
1,4,45860.433325065555
1,4,45860.433325065555
1,5,45970.53458085088
1,5,45970.53458085088
1,6,45634.427611867315
1,6,45634.427611867315
1,7,45282.90237516423
1,7,45282.90237516423
2,0,51090.18050046268
2,0,51090.18050046268
2,1,51699.04459901643
2,1,51699.04459901643
2,2,51109.91093327338
2,2,51109.91093327338
2,3,51713.34523273827
2,3,51713.34523273827
2,4,46083.885640892346
2,4,46083.885640892346
2,5,46173.41665677753
2,5,46173.41665677753
2,6,45766.26421826929
2,6,45766.26421826929
2,7,45617.53334766043
2,7,45617.53334766043
3,0,51041.08759511234
3,0,51041.08759511234
3,1,51596.38713956383
3,1,51596.38713956383
3,2,51137.72730086777
3,2,51137.72730086777
3,3,51636.00020105023
3,3,51636.00020105023
3,4,46046.29352607198
3,4,46046.29352607198
3,5,46136.54947561536
3,5,46136.54947561536
3,6,45743.46677713564
3,6,45743.46677713564
3,7,45624.81020289254
3,7,45624.81020289254
4,0,46049.91249429687
4,0,46049.91249429687
4,1,46406.50078395775
4,1,46406.50078395775
4,2,46075.532225420466
4,2,46075.532225420466
4,3,46421.53085637812
4,3,46421.53085637812
4,4,40904.071841445955
4,4,40904.071841445955
4,5,40991.27401225123
4,5,40991.27401225123
4,6,40605.52719648596
4,6,40605.52719648596
4,7,40490.71314587959
4,7,40490.71314587959
5,0,46065.82217262795
5,0,46065.82217262795
5,1,46505.40251590363
5,1,46505.40251590363
5,2,46150.88146414501
5,2,46150.88146414501
5,3,47304.96166642715
5,3,47304.96166642715
5,4,40991.821262282196
5,4,40991.821262282196
5,5,41079.760747314605
5,5,41079.760747314605
5,6,40694.051907097964
5,6,40694.051907097964
5,7,40579.16767882577
5,7,40579.16767882577
6,0,45825.84963177374
6,0,45825.84963177374
6,1,47070.96616611827
6,1,47070.96616611827
6,2,45804.510716204
6,2,45804.510716204
6,3,46155.30840569737
6,3,46155.30840569737
6,4,40614.661880962805
6,4,40614.661880962805
6,5,40704.612638562656
6,5,40704.612638562656
6,6,40318.34174131491
6,6,40318.34174131491
6,7,40202.5460884121
6,7,40202.5460884121
7,0,46013.58517171772
7,0,46013.58517171772
7,1,46099.01872838791
7,1,46099.01872838791
7,2,45611.80598413817
7,2,45611.80598413817
7,3,46523.41426591586
7,3,46523.41426591586
7,4,40530.12305729821
7,4,40530.12305729821
7,5,40616.91189193182
7,5,40616.91189193182
7,6,40227.72535414145
7,6,40227.72535414145
7,7,40110.45599116298
7,7,40110.45599116298
0,0,50529.86088813348
0,0,50529.86088813348
0,1,51031.35993152549
0,1,51031.35993152549
0,2,50533.28107345964
0,2,50533.28107345964
0,3,51106.083253686644
0,3,51106.083253686644
0,4,45540.389784043065
0,4,45540.389784043065
0,5,45649.21585581705
0,5,45649.21585581705
0,6,45260.45744848277
0,6,45260.45744848277
0,7,45108.29942368853
0,7,45108.29942368853
1,0,50189.060961078525
1,0,50189.060961078525
1,1,48138.27223930282
1,1,48138.27223930282
1,2,49813.18297587436
1,2,49813.18297587436
1,3,48103.76277349285
1,3,48103.76277349285
1,4,45393.649004275685
1,4,45393.649004275685
1,5,45450.59112452476
1,5,45450.59112452476
1,6,45083.09421502985
1,6,45083.09421502985
1,7,44989.40508058872
1,7,44989.40508058872
2,0,50360.20014700021
2,0,50360.20014700021
2,1,48570.21977241988
2,1,48570.21977241988
2,2,50358.47634460517
2,2,50358.47634460517
2,3,48766.446006333324
2,3,48766.446006333324
2,4,46056.82190460765
2,4,46056.82190460765
2,5,46147.4632298002
2,5,46147.4632298002
2,6,45758.393598771385
2,6,45758.393598771385
2,7,45641.80146896517
2,7,45641.80146896517
3,0,50332.53124516293
3,0,50332.53124516293
3,1,48545.26176146653
3,1,48545.26176146653
3,2,50335.832724398664
3,2,50335.832724398664
3,3,48737.94286192104
3,3,48737.94286192104
3,4,46038.036653664545
3,4,46038.036653664545
3,5,46126.69420304962
3,5,46126.69420304962
3,6,45735.29121990889
3,6,45735.29121990889
3,7,45628.000181895666
3,7,45628.000181895666
4,0,45321.73252793582
4,0,45321.73252793582
4,1,43437.95602945591
