timestamp,CH0_pF_filtered,CH1_pF_filtered,CH2_pF_filtered,CH3_pF_filtered,CH4_pF_filtered,CH5_pF_filtered,CH6_pF_filtered,CH7_pF_filtered
0.0,292.4691808202029,290.5735683831245,289.607143496812,285.4627548030608,295.07978196104983,290.52407209221957,282.89965773694945,290.35709002696683
0.12483572959899902,292.47457253751503,620.3806828595717,289.4997383375144,285.48066655281457,295.08488756263637,290.5385802954729,282.89558432029946,739.024450172483
0.24994373321533203,292.4862288209663,617.811754500982,289.35696093315573,285.4940357104196,295.11645187039625,290.55420259158467,282.8957509144076,788.8816672231916
0.37451863288879395,292.498435830652,319.46294689610346,289.25169460160674,285.49959594244524,295.1501437823789,290.5636791191677,282.89875869721635,441.59873718161276
0.49956274032592773,292.50283421774617,68.23356250648399,289.242351911452,285.49920418924626,295.15633939205895,290.5637756732548,282.9005302724576,93.85781900479677
0.6252567768096924,292.5012886580803,59.85870888887126,289.2735015792833,285.4983394956102,295.1467399600245,290.5623324935124,282.90034880704377,31.65268512910044
0.757408618927002,292.5012892692685,145.99502654827864,289.27843920687076,285.499257788034,295.14399521751034,290.5645536871112,282.9002053404006,123.55489160093336
0.8741617202758789,292.5052739757078,145.81935701232769,289.26555903974054,285.49989009333166,295.14766700466527,290.5655502464332,282.9004690476179,148.0961330209364
0.9992637634277344,292.5104950579178,100.14396552956667,289.2651949160388,285.4992821401616,295.1483928727601,290.5616522814706,282.9001826987527,112.94764061481908
1.124215841293335,292.5145648133472,119.40118648312621,289.27535650571343,285.4995535297528,295.1469327077347,290.5578478107832,282.89984368256324,107.5502692433402
1.2518787384033203,292.51724439007575,161.20295698191137,289.2797027258167,285.5018897539694,295.1483729098892,290.5593227039679,282.90068648810416,115.9971893003797
1.3743207454681396,292.51951132894834,109.52138366808614,289.2743576355026,285.5039851378166,295.1511808784505,290.5630180260628,282.9021672246551,106.37015821907687
1.4991967678070068,292.52241431950415,41.53741997829916,289.2691101258478,285.503505571469,295.1503966880161,290.56276425197564,282.9021671723899,121.69115450833175
1.6253666877746582,292.525923695932,164.22935902644448,289.2750455839744,285.50238960490907,295.14875171257955,290.55945701133754,282.89989522668606,163.14500717490304
1.7493009567260742,292.5292418555932,350.80106870016425,289.2838597486365,285.50385064638664,295.15332195463236,290.55943303461316,282.8973519006045,133.95525338735067
1.874046802520752,292.53148547763374,215.02645779997752,289.2697995631671,285.5047366662976,295.1555770579572,290.5615290528821,282.89634454319986,67.80372716789327
1.999283790588379,292.5308768708315,4.518115380957646,289.24239907964625,285.4971084732562,295.1329018512613,290.5547831268761,282.89579357234624,223.45563866629342
2.124206781387329,292.52640161814446,572.0682901184327,289.26370342079593,285.4814476501839,295.0867245483151,290.53649731760123,282.8951058122773,650.2993557148138
2.2492618560791016,292.52245864703536,1783.7291347636447,289.34850831351196,285.4714838419903,295.05825215514193,290.52307622975286,282.89670331421223,907.45317374722
2.3740267753601074,292.5263750705379,2188.710627926392,289.40356922666416,285.47845759492213,295.07984841613205,290.529969336434,282.90083920266443,650.1006578857834
2.500124931335449,292.5378665981401,1184.7515893201364,289.35832803999665,285.49578464107464,295.1287898037658,290.54909052998545,282.9031708391047,189.75814361583505
2.6245110034942627,292.54785396232216,26.5079642346747,289.27816875313346,285.5075738031591,295.15835498048074,290.5608989715469,282.90177399205135,10.3188044206153
2.74912691116333,292.5509471084698,-170.07127995877815,289.25450809019515,285.50799699484367,295.15731976734537,290.56067148705733,282.900457985626,98.59364509885638
2.873896837234497,292.55108758483215,162.4589263261451,289.27899065374027,285.5040223383781,295.1488527293862,290.5580397041072,282.9020140850744,159.41901092625028
2.99889874458313,292.55278161414105,243.84518448093792,289.29967374110043,285.5028623661825,295.1480685434667,290.5585823759828,282.90412435179866,118.78826809754125
3.129687786102295,292.5551668793634,100.75217974142646,289.3053462096318,285.5046969105466,295.1505519749766,290.559740967778,282.90414072822534,89.15265937648266
3.2486257553100586,292.5565951687292,63.21489898758141,289.30719967089226,285.5061093120684,295.15107377874205,290.55958816027476,282.9030713009107,105.64305595036099
3.373483657836914,292.5583153096885,126.55871825159818,289.30862081879195,285.5053011135836,295.15086632979325,290.5591192300453,282.90286856309973,118.58284525990483
3.4985837936401367,292.5613283717852,143.5697584794252,289.3137333235155,285.50345135181476,295.1511596103779,290.5582005639864,282.9030393540375,110.88247084948826
3.6235058307647705,292.5638215087072,115.18138744539368,289.32452534254213,285.5025360441347,295.15107082445087,290.5556954734089,282.90197289707424,104.19743612447266
3.749589681625366,292.56416955106823,106.95085918538973,289.32983011478655,285.5028238936604,295.1503336840206,290.55268032460106,282.8998573346772,106.92256704763686
3.874762773513794,292.56397539838065,119.26363666514852,289.3197568363851,285.50328918100536,295.15007161865947,290.55158445079667,282.8984833780266,110.22408557205158
3.9983627796173096,292.56588710626215,124.01402851304996,289.3018037182402,285.5035651048395,295.1511950827483,290.55261334375206,282.89895956181687,110.4889481256365
4.123255729675293,292.569893809805,120.40935653260034,289.29019479951967,285.5040485232335,295.1531831368305,290.55378208626354,282.9007792939806,111.02465581361024
4.249206781387329,292.57357312631393,118.11616712639439,289.28933271924586,285.5049662797537,295.15482426373995,290.55401757683495,282.90260311452215,112.24225173086957
4.373095750808716,292.57539146802804,117.71042094602582,289.2941475449514,285.5063523874776,295.1556348836411,290.5540276469177,282.9032635401809,111.84392638397973
4.498171806335449,292.57644383221077,120.38412152685932,289.30003535755947,285.5078667639459,295.1559551875521,290.55455032896384,282.9025428395163,110.21668064288093
