row_index,col_index,raw_value
0,0,11305942
0,0,11305942
0,1,11509468
0,1,11509468
0,2,11310605
0,2,11310605
0,3,11517609
0,3,11517609
0,4,11821336
0,4,11821336
0,5,11809781
0,5,11809781
0,6,11860451
0,6,11860451
0,7,11875795
0,7,11875795
1,0,11306705
1,0,11306705
1,1,11509402
1,1,11509402
1,2,11307868
1,2,11307868
1,3,11518684
1,3,11518684
1,4,11822956
1,4,11822956
1,5,11811876
1,5,11811876
1,6,11862471
1,6,11862471
1,7,11877720
1,7,11877720
2,0,11222012
2,0,11222012
2,1,11421543
2,1,11421543
2,2,11222311
2,2,11222311
2,3,11429022
2,3,11429022
2,4,11730296
2,4,11730296
2,5,11719031
2,5,11719031
2,6,11769416
2,6,11769416
2,7,11784705
2,7,11784705
3,0,11224375
3,0,11224375
3,1,11424923
3,1,11424923
3,2,11225240
3,2,11225240
3,3,11432587
3,3,11432587
3,4,11732550
3,4,11732550
3,5,11721007
3,5,11721007
3,6,11771213
3,6,11771213
3,7,11786280
3,7,11786280
4,0,11832073
4,0,11832073
4,1,12077794
4,1,12077794
4,2,11834121
4,2,11834121
4,3,12090700
4,3,12090700
4,4,12447983
4,4,12447983
4,5,12434733
4,5,12434733
4,6,12493598
4,6,12493598
4,7,12511373
4,7,12511373
5,0,11821554
5,0,11821554
5,1,12066891
5,1,12066891
5,2,11823897
5,2,11823897
5,3,12080035
5,3,12080035
5,4,12436165
5,4,12436165
5,5,12423040
5,5,12423040
5,6,12481610
5,6,12481610
5,7,12499326
5,7,12499326
6,0,11872043
6,0,11872043
6,1,12119425
6,1,12119425
6,2,11874415
6,2,11874415
6,3,12132529
6,3,12132529
6,4,12493357
6,4,12493357
6,5,12480065
6,5,12480065
6,6,12539586
6,6,12539586
6,7,12557533
6,7,12557533
7,0,11883108
7,0,11883108
7,1,12131010
7,1,12131010
7,2,11885961
7,2,11885961
7,3,12144288
7,3,12144288
7,4,12506348
7,4,12506348
7,5,12492973
7,5,12492973
7,6,12552734
7,6,12552734
7,7,12570711
7,7,12570711
0,0,11305665
0,0,11305665
0,1,11510247
0,1,11510247
0,2,11307724
0,2,11307724
0,3,11517726
0,3,11517726
0,4,11821079
0,4,11821079
0,5,11809176
0,5,11809176
0,6,11859498
0,6,11859498
0,7,11874637
0,7,11874637
1,0,11304887
1,0,11304887
1,1,11507259
1,1,11507259
1,2,11305131
1,2,11305131
1,3,11515952
1,3,11515952
1,4,11819722
1,4,11819722
1,5,11807884
1,5,11807884
1,6,11858508
1,6,11858508
1,7,11873858
