timestamp,CH0_pF_filtered,CH1_pF_filtered,CH2_pF_filtered,CH3_pF_filtered,CH4_pF_filtered,CH5_pF_filtered,CH6_pF_filtered,CH7_pF_filtered
0.0,287.35694058885485,285.62003750212415,289.7182917419231,282.889981506896,282.83971288642937,288.9833614412146,282.9806088451905,289.3887408661035
0.12483096122741699,287.3536954009032,285.6189326324683,289.7165551616325,282.8824771709528,282.8325560704085,288.9812851631587,282.978488062873,289.38727202743024
0.2500722408294678,287.35321340270303,285.61816189917784,289.7153687708813,282.88111494270566,282.83022675592855,288.9794569490911,282.97664883608496,289.38620578929806
0.37580108642578125,287.35517348961844,285.61856407394964,289.71592330157324,282.8836259386769,282.8318969823028,288.9789410694815,282.97575815068376,289.3858856721984
0.4997680187225342,287.35690791265466,285.62010580084035,289.7179666118699,282.88383355723556,282.83288735622966,288.97990991797997,282.97638926422957,289.386625564382
0.6247012615203857,287.3570007634483,285.6212030875249,289.7188589498156,282.8815766884153,282.83092956240876,288.98031152335875,282.97793308557954,289.3878318262386
0.7500081062316895,287.35666785396086,285.6207694612538,289.7169763416416,282.88213266922264,282.8288495492166,288.9782972161532,282.9784663190788,289.38809010512506
0.8746962547302246,287.3571835807761,285.61974922666496,289.71432692338186,282.8864298863434,282.83089069307965,288.97551316439245,282.9768446480203,289.38687852010133
1.0009031295776367,287.3577842330205,285.6194813322324,289.7136115472651,282.88850502510707,282.83644231340236,288.97579111825695,282.9748833201171,289.38509983004406
1.1245031356811523,287.3572455208481,285.619837048401,289.7146908481372,282.88462118919733,282.8389063048541,288.9797065625975,282.97550798544853,289.3843054053122
1.2497341632843018,287.3561608473522,285.62000741885953,289.7157184835776,282.87929178904346,282.8338565809025,288.98252324159625,282.97830517411376,289.3858027958711
1.3742811679840088,287.3560718687483,285.6200358062136,289.7157680177884,282.8789752604032,282.82660285426135,288.9801702438862,282.97961761935755,289.38918922368435
1.4995040893554688,287.35711340296854,285.6204660807618,289.71531873480166,282.8833444350148,282.8262108894339,288.9754934964996,282.97805806540003,289.3921782400565
1.6250131130218506,287.3581584130448,285.62117356846807,289.71539788219883,282.8863372169409,282.8328143475017,288.9745287799886,282.97651285812657,289.39285216669276
1.7493870258331299,287.3585237316668,285.62165065716823,289.7164771456336,282.88464781684365,282.8371837465216,288.977835268488,282.9770639696062,289.39097852197017
1.877960205078125,287.3580442223618,285.62177801513883,289.7180123591422,282.88142309170183,282.8338701746548,288.98028280252277,282.9779558911225,289.38789359583376
1.9991581439971924,287.3568063916981,285.62145829796725,289.71917610448344,282.8806590630591,282.8285026468697,288.979079760488,282.97777522987354,289.3867235788741
