row_index,col_index,raw_value
0,0,11198870
0,0,11198870
0,1,11363938
0,1,11363938
0,2,11197846
0,2,11197846
0,3,11399066
0,3,11399066
0,4,11794300
0,4,11794300
0,5,11779016
0,5,11779016
0,6,11830096
0,6,11830096
0,7,11844723
0,7,11844723
1,0,11199814
1,0,11199814
1,1,11364191
1,1,11364191
1,2,11197537
1,2,11197537
1,3,11396805
1,3,11396805
1,4,11792540
1,4,11792540
1,5,11779433
1,5,11779433
1,6,11828677
1,6,11828677
1,7,11842368
1,7,11842368
2,0,11134024
2,0,11134024
2,1,11295291
2,1,11295291
2,2,11131725
2,2,11131725
2,3,11326167
2,3,11326167
2,4,11714735
2,4,11714735
2,5,11701767
2,5,11701767
2,6,11751316
2,6,11751316
2,7,11767379
2,7,11767379
3,0,11126567
3,0,11126567
3,1,11266778
3,1,11266778
3,2,11127223
3,2,11127223
3,3,11053326
3,3,11053326
3,4,11716471
3,4,11716471
3,5,11711652
3,5,11711652
3,6,11764179
3,6,11764179
3,7,11735227
3,7,11735227
4,0,11743202
4,0,11743202
4,1,11690208
4,1,11690208
4,2,11740754
4,2,11740754
4,3,11685739
4,3,11685739
4,4,12446754
4,4,12446754
4,5,12433495
4,5,12433495
4,6,12492413
4,6,12492413
4,7,12510159
4,7,12510159
5,0,11738610
5,0,11738610
5,1,11724558
5,1,11724558
5,2,11736401
5,2,11736401
5,3,11675359
5,3,11675359
5,4,12435602
5,4,12435602
5,5,12421921
5,5,12421921
5,6,12480455
5,6,12480455
5,7,12498078
5,7,12498078
6,0,11780686
6,0,11780686
6,1,11706926
6,1,11706926
6,2,11778237
6,2,11778237
6,3,11722365
6,3,11722365
6,4,12492187
6,4,12492187
6,5,12478821
6,5,12478821
6,6,12538300
6,6,12538300
6,7,12556321
6,7,12556321
7,0,11792897
7,0,11792897
7,1,11727636
7,1,11727636
7,2,11791900
7,2,11791900
7,3,11734414
7,3,11734414
7,4,12504595
7,4,12504595
7,5,12491029
7,5,12491029
7,6,12550522
7,6,12550522
7,7,12568637
7,7,12568637
0,0,11153289
0,0,11153289
0,1,11322556
0,1,11322556
0,2,11138024
0,2,11138024
0,3,11029549
0,3,11029549
0,4,11723985
0,4,11723985
0,5,11727101
0,5,11727101
0,6,11776684
0,6,11776684
0,7,11792301
0,7,11792301
1,0,11148708
1,0,11148708
1,1,11060916
1,1,11060916
1,2,11155940
1,2,11155940
1,3,11062586
1,3,11062586
1,4,11755597
1,4,11755597
1,5,11741511
1,5,11741511
1,6,11784671
1,6,11784671
1,7,11830324
1,7,11830324
2,0,11137688
2,0,11137688
2,1,11071909
2,1,11071909
2,2,11135538
2,2,11135538
2,3,11070378
2,3,11070378
2,4,11727062
2,4,11727062
2,5,11715687
2,5,11715687
2,6,11767685
2,6,11767685
2,7,11786853
2,7,11786853
3,0,11143043
3,0,11143043
3,1,11082918
3,1,11082918
3,2,11132509
3,2,11132509
3,3,11078666
3,3,11078666
3,4,11731848
3,4,11731848
3,5,11720367
3,5,11720367
3,6,11770617
3,6,11770617
3,7,11785913
3,7,11785913
4,0,11731387
4,0,11731387
4,1,11686228
4,1,11686228
4,2,11728125
4,2,11728125
4,3,11684336
4,3,11684336
4,4,12447453
4,4,12447453
4,5,12434206
4,5,12434206
4,6,12493128
4,6,12493128
4,7,12510828
4,7,12510828
5,0,11729361
5,0,11729361
5,1,11673795
5,1,11673795
5,2,11718547
5,2,11718547
5,3,11574718
5,3,11574718
5,4,12434123
5,4,12434123
5,5,12420807
5,5,12420807
5,6,12479532
5,6,12479532
5,7,12497185
5,7,12497185
6,0,11760032
6,0,11760032
6,1,11603452
6,1,11603452
6,2,11762771
6,2,11762771
6,3,11717985
6,3,11717985
6,4,12491723
6,4,12491723
6,5,12477913
6,5,12477913
6,6,12537543
6,6,12537543
6,7,12555586
6,7,12555586
7,0,11736017
7,0,11736017
7,1,11725137
7,1,11725137
7,2,11787593
7,2,11787593
7,3,11671535
7,3,11671535
7,4,12504744
7,4,12504744
7,5,12491377
7,5,12491377
7,6,12551656
7,6,12551656
7,7,12569991
7,7,12569991
0,0,11199270
0,0,11199270
0,1,11144105
0,1,11144105
0,2,11198891
0,2,11198891
0,3,11135955
0,3,11135955
0,4,11796832
0,4,11796832
0,5,11782762
0,5,11782762
0,6,11833257
0,6,11833257
0,7,11853198
0,7,11853198
1,0,11237229
1,0,11237229
1,1,11474097
1,1,11474097
1,2,11279546
1,2,11279546
1,3,11478212
1,3,11478212
1,4,11815884
1,4,11815884
1,5,11808480
1,5,11808480
1,6,11856511
1,6,11856511
1,7,11868850
1,7,11868850
2,0,11218119
2,0,11218119
2,1,11422962
2,1,11422962
2,2,11218311
2,2,11218311
2,3,11399957
2,3,11399957
2,4,11730507
2,4,11730507
2,5,11718981
2,5,11718981
2,6,11768697
2,6,11768697
2,7,11783719
2,7,11783719
3,0,11221202
3,0,11221202
3,1,11425898
3,1,11425898
3,2,11220834
3,2,11220834
3,3,11403290
3,3,11403290
3,4,11732900
3,4,11732900
3,5,11721619
3,5,11721619
3,6,11771669
3,6,11771669
3,7,11785501
3,7,11785501
4,0,11825255
4,0,11825255
4,1,12078947
4,1,12078947
4,2,11825571
4,2,11825571
4,3,12057185
4,3,12057185
4,4,12448182
4,4,12448182
4,5,12434614
4,5,12434614
4,6,12493467
4,6,12493467
4,7,12511275
4,7,12511275
5,0,11813672
5,0,11813672
5,1,12066843
5,1,12066843
5,2,11814798
5,2,11814798
5,3,12047770
5,3,12047770
5,4,12437061
5,4,12437061
5,5,12423957
5,5,12423957
5,6,12482509
5,6,12482509
5,7,12500070
5,7,12500070
6,0,11866316
6,0,11866316
6,1,12121677
6,1,12121677
6,2,11866307
6,2,11866307
6,3,12101138
6,3,12101138
6,4,12494247
6,4,12494247
6,5,12480979
6,5,12480979
6,6,12540344
6,6,12540344
6,7,12558233
6,7,12558233
7,0,11876901
7,0,11876901
7,1,12132768
7,1,12132768
7,2,11876495
7,2,11876495
7,3,12110133
7,3,12110133
7,4,12506464
7,4,12506464
7,5,12493047
7,5,12493047
7,6,12552734
7,6,12552734
7,7,12570765
7,7,12570765
0,0,11184805
0,0,11184805
0,1,11388324
0,1,11388324
0,2,11184811
0,2,11184811
0,3,11362435
0,3,11362435
0,4,11700253
0,4,11700253
0,5,11689979
0,5,11689979
0,6,11739635
0,6,11739635
0,7,11755369
0,7,11755369
1,0,11187440
1,0,11187440
1,1,11390977
1,1,11390977
1,2,11190182
1,2,11190182
1,3,11455991
1,3,11455991
1,4,11818822
1,4,11818822
1,5,11807550
1,5,11807550
1,6,11858130
1,6,11858130
1,7,11872762
1,7,11872762
2,0,11217714
2,0,11217714
2,1,11423246
2,1,11423246
2,2,11217191
2,2,11217191
2,3,11401594
2,3,11401594
2,4,11730880
2,4,11730880
2,5,11719031
2,5,11719031
2,6,11769666
2,6,11769666
2,7,11785260
2,7,11785260
3,0,11220909
3,0,11220909
3,1,11424716
3,1,11424716
3,2,11215218
3,2,11215218
3,3,11399338
3,3,11399338
3,4,11702162
3,4,11702162
3,5,11681776
3,5,11681776
3,6,11735823
3,6,11735823
3,7,11749786
3,7,11749786
4,0,11826512
4,0,11826512
4,1,12079720
4,1,12079720
4,2,11826441
4,2,11826441
4,3,12057464
4,3,12057464
4,4,12448403
4,4,12448403
4,5,12435165
4,5,12435165
4,6,12494131
4,6,12494131
4,7,12512085
4,7,12512085
5,0,11816217
5,0,11816217
5,1,12068451
5,1,12068451
5,2,11814608
5,2,11814608
5,3,12042803
5,3,12042803
5,4,12436502
5,4,12436502
5,5,12423784
5,5,12423784
5,6,12482441
5,6,12482441
5,7,12499781
5,7,12499781
6,0,11865116
6,0,11865116
6,1,12120979
6,1,12120979
6,2,11864752
6,2,11864752
6,3,12096105
6,3,12096105
6,4,12493539
6,4,12493539
6,5,12480259
6,5,12480259
6,6,12540306
6,6,12540306
6,7,12558337
6,7,12558337
7,0,11876836
7,0,11876836
7,1,12133716
7,1,12133716
7,2,11876614
7,2,11876614
7,3,12112473
7,3,12112473
7,4,12507232
7,4,12507232
7,5,12493890
7,5,12493890
7,6,12553559
7,6,12553559
7,7,12571575
7,7,12571575
0,0,11298839
0,0,11298839
0,1,11507442
0,1,11507442
0,2,11294512
0,2,11294512
0,3,11481551
0,3,11481551
0,4,11810639
0,4,11810639
0,5,11728793
0,5,11728793
0,6,11774558
0,6,11774558
0,7,11785177
0,7,11785177
1,0,11191984
1,0,11191984
1,1,11394812
1,1,11394812
1,2,11186005
1,2,11186005
1,3,11375414
1,3,11375414
1,4,11714796
1,4,11714796
1,5,11722076
1,5,11722076
1,6,11833652
1,6,11833652
1,7,11868092
1,7,11868092
2,0,11208119
2,0,11208119
2,1,11416761
2,1,11416761
2,2,11209313
2,2,11209313
2,3,11392480
2,3,11392480
2,4,11725281
2,4,11725281
2,5,11714201
2,5,11714201
2,6,11764284
2,6,11764284
2,7,11778010
2,7,11778010
3,0,11207041
3,0,11207041
3,1,11419117
3,1,11419117
3,2,11213794
3,2,11213794
3,3,11395422
3,3,11395422
3,4,11718080
3,4,11718080
3,5,11709264
3,5,11709264
3,6,11762486
3,6,11762486
3,7,11777546
3,7,11777546
4,0,11825283
4,0,11825283
4,1,12079883
4,1,12079883
4,2,11825187
4,2,11825187
4,3,12059199
4,3,12059199
4,4,12448879
4,4,12448879
4,5,12435659
4,5,12435659
4,6,12494494
4,6,12494494
4,7,12512231
4,7,12512231
5,0,11815893
5,0,11815893
5,1,12069544
5,1,12069544
5,2,11815603
5,2,11815603
5,3,12048586
5,3,12048586
5,4,12437189
5,4,12437189
5,5,12424034
5,5,12424034
5,6,12482581
5,6,12482581
5,7,12500210
5,7,12500210
6,0,11865648
6,0,11865648
6,1,12122184
6,1,12122184
6,2,11865861
6,2,11865861
6,3,12101487
6,3,12101487
6,4,12494277
6,4,12494277
6,5,12480979
6,5,12480979
6,6,12540410
6,6,12540410
6,7,12558295
6,7,12558295
7,0,11877404
7,0,11877404
7,1,12134409
7,1,12134409
7,2,11877700
7,2,11877700
7,3,12113665
7,3,12113665
7,4,12507146
7,4,12507146
7,5,12493780
7,5,12493780
7,6,12553353
7,6,12553353
7,7,12571399
7,7,12571399
0,0,11297202
0,0,11297202
0,1,11508601
0,1,11508601
0,2,11298337
0,2,11298337
0,3,11486650
0,3,11486650
0,4,11818209
0,4,11818209
0,5,11806605
0,5,11806605
0,6,11857273
0,6,11857273
0,7,11872478
0,7,11872478
1,0,11298550
1,0,11298550
1,1,11508360
1,1,11508360
1,2,11298220
1,2,11298220
1,3,11487639
1,3,11487639
1,4,11819799
1,4,11819799
1,5,11808096
1,5,11808096
1,6,11859026
1,6,11859026
1,7,11874398
1,7,11874398
2,0,11220530
2,0,11220530
2,1,11426914
2,1,11426914
2,2,11220242
2,2,11220242
2,3,11404772
2,3,11404772
2,4,11734954
2,4,11734954
