timestamp,MUX1_0_pF,MUX1_1_pF,MUX1_2_pF,MUX1_3_pF,MUX2_0_pF,MUX2_1_pF,MUX2_2_pF,MUX2_3_pF
81.228,309.150364,290.457761,294.345264,294.416771,306.793737,288.993592,292.771984,293.491516
81.560,309.148512,290.456618,294.346429,294.486014,306.800192,288.991280,292.769928,293.459421
81.898,309.110516,290.466567,294.344660,294.434813,306.773045,289.007420,292.778321,293.451559
82.270,309.088952,290.459539,294.331630,294.246437,306.884723,289.006958,292.772840,293.436051
82.605,309.077061,290.445484,294.336462,294.310706,306.869930,288.993886,292.773439,293.044744
82.962,309.120142,290.462630,294.312992,294.494736,306.910968,289.026757,292.758967,293.557053
83.313,309.095801,290.434944,294.301647,294.390012,306.912800,288.987917,292.750362,293.376049
83.709,309.077107,290.427578,294.297894,294.167100,306.891776,288.983420,292.745138,293.370252
84.030,309.084880,290.433758,294.303113,294.431274,306.894295,288.984765,292.747707,293.425527
84.396,309.086454,290.430965,294.303631,294.384790,306.897364,288.985312,292.747493,293.392841
84.738,309.087379,290.430965,294.301647,294.358338,306.894570,288.984471,292.749762,293.484856
85.095,309.094274,290.431430,294.303717,294.336462,306.898921,288.985017,292.751218,293.437426
85.459,309.091729,290.429822,294.297807,294.410642,306.899837,288.981403,292.745438,293.403836
85.804,309.088351,290.429229,294.299015,294.372275,306.898921,288.982538,292.745438,293.380086
86.158,309.088027,290.428044,294.300482,294.357475,306.894936,288.981109,292.747493,293.474458
86.509,309.091451,290.430118,294.300482,294.340000,306.901669,288.982538,292.748563,293.432787
86.865,309.086130,290.429229,294.299015,294.400758,306.898601,288.981109,292.744882,293.398038
87.213,309.086130,290.429822,294.300784,294.365371,306.899517,288.983715,292.748563,293.369694
87.574,309.087703,290.429822,294.301086,294.355403,306.900433,288.981697,292.747108,293.469217
87.920,309.087101,290.428636,294.299576,294.334477,306.905700,288.981403,292.743683,293.422993
88.268,309.089276,290.430668,294.301647,294.393249,306.903502,288.980226,292.746337,293.394001
88.622,309.086824,290.428636,294.299878,294.372578,306.904784,288.981109,292.745138,293.381847
89.011,309.085528,290.428933,294.300180,294.354584,306.901395,288.981991,292.746337,293.461397
89.329,309.089878,290.429822,294.298799,294.340000,306.905380,288.980520,292.745738,293.429866
89.685,309.086777,290.428933,294.299878,294.389710,306.900433,288.981697,292.745438,293.396277
90.054,309.089276,290.428340,294.297894,294.359848,306.912800,288.983883,292.743982,293.394301
90.409,309.079883,290.427875,294.294960,294.330465,306.899242,288.979764,292.743383,293.451044
