timestamp,MUX1_0_pF,MUX1_1_pF,MUX1_2_pF,MUX1_3_pF,MUX2_0_pF,MUX2_1_pF,MUX2_2_pF,MUX2_3_pF
36.249,309.007899,290.294666,294.184862,294.290603,309.861269,288.781992,292.567501,293.456285
36.626,308.985790,290.295174,294.185724,294.271452,309.862477,288.785057,292.565576,293.422091
36.961,308.985790,290.297204,294.188096,294.352556,309.865356,288.784931,292.564079,293.422391
37.306,308.964609,290.301730,294.189260,294.313812,309.834337,288.791859,292.568699,293.400916
37.680,308.976170,290.297289,294.195296,294.283012,309.843159,288.785603,292.581874,293.455683
38.043,308.816074,290.309768,294.182793,294.206420,309.665205,288.807690,292.575030,293.388504
38.368,308.799530,290.308880,294.182577,294.077149,309.641127,288.807270,292.571522,292.968784
38.742,308.806415,290.313999,294.191846,294.279561,309.650870,288.811343,292.580805,293.405597
39.086,308.793615,290.291324,294.157271,294.273436,309.630829,288.788080,292.551675,293.437984
39.430,308.784281,290.282695,294.153779,294.171152,309.613666,288.782706,292.546500,293.337575
39.821,308.774023,290.279776,294.151753,294.249586,309.612089,288.782160,292.543377,293.314133
40.164,308.780862,290.281257,294.153219,294.230783,309.628046,288.782706,292.544746,293.314133
40.499,308.784281,290.282103,294.154081,294.205428,309.622387,288.781866,292.543677,293.363682
40.855,308.784882,290.285487,294.154383,294.295564,309.624242,288.784637,292.545131,293.343071
41.199,308.782710,290.283287,294.154599,294.253424,309.623964,288.781698,292.543933,293.331478
41.553,308.787100,290.283287,294.152314,294.242082,309.636117,288.783588,292.544147,293.323149
41.934,308.780585,290.283287,294.153521,294.240615,309.618629,288.784763,292.544532,293.375491
42.277,308.782433,290.280369,294.152012,294.294960,309.620531,288.780103,292.540426,293.363896
42.630,308.784605,290.281934,294.153736,294.233931,309.624567,288.783000,292.540426,293.308638
42.968,308.779938,290.278169,294.150633,294.221425,309.617377,288.780523,292.542479,293.394903
43.366,308.777766,290.280199,294.151452,294.212715,309.618954,288.783294,292.546500,293.361621
43.692,308.779291,290.281257,294.152012,294.274946,309.617702,288.781278,292.541324,293.331779
44.054,308.782710,290.281045,294.149469,294.233414,309.617702,288.780397,292.542779,293.305504
44.395,308.778967,290.277577,294.149469,294.224961,309.618629,288.781110,292.543078,293.387945
44.747,308.781509,290.282103,294.151150,294.213017,309.620253,288.780691,292.546200,293.357799
45.092,308.782387,290.281638,294.152616,294.271193,309.618629,288.781866,292.543078,293.335814
45.469,308.781786,290.282399,294.152012,294.232767,309.620253,288.783294,292.545602,293.309024
45.818,308.785852,290.281342,294.151236,294.227506,309.622108,288.784176,292.545986,293.389706
46.154,308.784605,290.282103,294.153219,294.213017,309.620856,288.779557,292.542779,293.360461
46.539,308.781185,290.279311,294.150331,294.258384,309.621784,288.778213,292.541324,293.320229
46.891,308.782109,290.281807,294.152616,294.241823,309.621180,288.782160,292.545345,293.300009
47.228,308.783357,290.280749,294.151150,294.234535,309.624242,288.783294,292.546200,293.380773
47.569,308.784281,290.281257,294.152917,294.205213,309.619928,288.783000,292.546799,293.343972
47.957,308.783034,290.280199,294.151753,294.256874,309.628324,288.787241,292.546799,293.313918
48.289,308.782710,290.279903,294.150848,294.243505,309.631432,288.786947,292.546799,293.326068
48.642,308.780862,290.280369,294.152012,294.207800,309.620253,288.783000,292.546500,293.372013
48.991,308.781786,290.281045,294.152917,294.301345,309.624567,288.783882,292.544832,293.354278
49.339,308.784882,290.283287,294.152012,294.261230,309.625494,288.786779,292.545901,293.330319
49.718,308.785575,290.282103,294.153219,294.240055,309.637370,288.785603,292.548253,293.332380
50.050,308.785205,290.283287,294.153219,294.176757,309.623639,288.783882,292.550306,293.371154
50.410,308.787700,290.283583,294.153779,294.303070,309.628324,288.784763,292.547954,293.377509
