Time,Ch0_Avg,Ch1_Avg,Ch2_Avg,Ch3_Avg
108,6701.622457639802,29688.121849913558,193539.47168533146,28518.15506667218
109,7291.82101485669,29697.43345436333,12417385.984481566,28525.10365920516
110,4231.616545669279,29731.745492301714,76519302.75730132,28563.998664854378
111,14570186.167674212,29711.862169024644,7644.530589386322,28540.3030834057
112,87.95241701149256,29667.442300903618,21694031.00580337,28495.67866680696
113,24375671.675558813,29666.605618424514,12828798.152299538,28495.526019659308
114,24248135.643010296,29668.482367442557,13002035.06200934,28495.658126291117
115,87.95241701149256,29666.817585845653,25663673.09249116,28495.716670095237
116,30331742.893610086,29666.955161714493,87.95241701149256,28495.659081573576
117,12228031.508325957,29669.795487895986,25670565.901334085,28495.88184544339
118,12231404.8121159,29668.12893423354,39036742.95125197,28495.88980627631
119,24239502.14327134,29682.800865782418,87.95241701149256,28503.680739279647
120,19054.70023248988,29727.82330345882,14430899.044527017,28509.252307458377
121,28517.423197035045,29745.453343538113,29953.46511677036,28510.248021125946
122,28527.542507600545,29759.040078232745,30028.271114058774,28507.22195307793
123,28556.031810893182,29774.124248062595,30053.73396642255,28502.093698669953
124,28548.645081453855,29789.04086291149,29821.6615962152,28507.25177539065
125,28502.273943660042,29814.00604089935,29871.960002561897,28512.900997033095
126,28491.94950038036,29748.66854282956,29931.847171839792,28505.6683878189
127,28488.763412725526,29732.307753545083,29959.68621231914,28510.131073621753
128,28494.560157183143,29753.013366404273,29968.272268114877,28534.404810380143
129,28500.082085065253,51715.95630328894,834161.4930182656,28652.821279748263
130,28506.678973943148,271573.8586398994,996424.1453366672,28687.003722669593
131,28511.53044750889,3534554.5460560345,3646968.0546894157,28674.96751481353
132,28512.159492552935,29737.479342719205,29984.919759157547,28516.29404343882
133,28526.90087284217,29765.811022273305,30040.025492798883,28549.10373422214
134,28541.945823620154,3602368.6402521143,3473067.3319241554,28559.21904654936
135,28532.27660007372,3637891.6979994173,3516138.8314997167,28555.51106770952
136,28531.948025267255,3622412.365210383,3893611.4624456987,28515.953514803306
137,28478.37321187719,28003461279.934765,18347.84122376065,28509.46643121236
138,28430.6857927883,29657.956642298195,29262.373120703647,28500.32433303756
139,28430.233859459022,29657.552244733535,29262.65067573953,28499.286529986864
140,28430.618779022745,29657.652389963092,29262.004276987536,28499.786414993614
141,28429.893755953097,29658.17350443523,29262.363919785454,28500.415079668506
142,28430.059530005714,29657.822302775698,29262.17258170904,28499.867716203575
143,28429.934279413468,29658.40406302782,29261.64720604058,28501.465569938562
144,28429.633366161317,29662.77714362459,29262.84820968756,28501.972069044885
145,28430.376474604294,29723.3310059094,29266.152435631568,28574.845968402784
146,28430.49072936201,29716.85653178529,29266.4885385669,28555.221162447924
147,28430.511461839145,29771.608354298856,29269.97104372412,28686.93876170248
148,28433.56308559944,30183.34525812433,29281.295921592406,29693.21347240924
149,28433.794582961975,30376.245542250846,29297.3609549136,29926.33477774793
150,28430.16428168916,29678.29464499562,29264.84785960238,28510.157689753443
151,28430.713038177015,29703.841291624805,29264.802596591886,28522.56657098715
152,28430.462627285422,29714.477850357613,29266.920548967595,28612.798702624357
153,28430.58116857506,29680.152515076803,29263.51256749385,28505.67121969085
154,28430.41497104549,29659.31781791675,29263.07048735498,28502.397367250924
155,28429.767976896786,29657.316453866835,29259.655906652875,28496.57960881333
156,28430.26771735742,29658.016618518566,29260.79291301231,28497.490162418224
157,28429.827111988376,29658.65971000267,29261.018482104893,28497.75452839411
158,28430.536897101825,29670.694563944468,29263.013121910117,28518.111189558156
159,7240101.4710900225,29697.175530184097,29272.703508248545,3348251511.0867734
160,28430.96724602334,29669.800080423724,29263.014919582805,28504.303702715668
161,28432.371744251213,29675.157185153297,29265.562917349147,28525.89456911186
162,28432.901588498367,29685.19839998435,29270.695800924303,28535.916899090436
163,28431.881254835836,29684.79434984513,29271.331723910764,28527.353010528863
164,28432.62438719469,29686.2936979988,29277.70368281113,28532.11888893445
165,28521.37188100285,29695.940391847773,29305.08458263298,28671.59925444011
166,12187683.574860271,29720.022813138312,29283.92821242053,4528772621.331073
167,18986.913210358976,29687.53446055282,29270.551145903257,7294336.368485913
168,28435.49765591694,29685.622481712606,29276.454628845495,28530.1470748743
169,28436.510116552963,29693.78313294052,29286.097361498218,28559.386124269757
170,28450.12839998078,29699.07766321885,29286.83265008153,28610.634997912326
171,28506.006399783004,29693.547260861662,29275.289149507404,28691.008339378433
172,28444.833530796466,29696.489670363953,29280.291388318892,28654.56213773445
173,28454.574403844555,29696.699758577884,29282.352846266178,28628.390004744568
174,28542.533596745467,29698.931629074956,29292.59770296789,28716.485105219297
175,28437.821382116002,29691.663973349874,29286.700606910024,28576.609106749253
176,16688.269917520538,29703.539860498146,29290.333611513488,37300.62477139631
177,28432.08227231462,29661.779375790393,29264.162826525728,28498.503611118114
178,28431.950910736236,29663.21483487891,29264.563375838283,28500.529220947625
