row_index,col_index,capacitance_pF
3,7,45630.71812211018
3,7,45630.71812211018
4,0,45498.10164651818
4,0,45498.10164651818
4,1,43584.08367824626
4,1,43584.08367824626
4,2,45505.52731553783
4,2,45505.52731553783
4,3,43676.344778000894
4,3,43676.344778000894
4,4,40905.34032094571
4,4,40905.34032094571
4,5,40990.12020773569
4,5,40990.12020773569
4,6,40605.72221092969
4,6,40605.72221092969
4,7,40488.551281510365
4,7,40488.551281510365
5,0,45567.045902309146
5,0,45567.045902309146
5,1,43655.1704678555
5,1,43655.1704678555
5,2,45570.708987895196
5,2,45570.708987895196
5,3,43740.54889510581
5,3,43740.54889510581
5,4,40981.75493394218
5,4,40981.75493394218
5,5,41066.21725587544
5,5,41066.21725587544
5,6,40682.556537976336
5,6,40682.556537976336
5,7,40565.423099641834
5,7,40565.423099641834
6,0,45187.69716034914
6,0,45187.69716034914
6,1,43280.40612373508
6,1,43280.40612373508
6,2,45186.964567802344
6,2,45186.964567802344
6,3,43358.553717464696
6,3,43358.553717464696
6,4,40607.60092202729
6,4,40607.60092202729
6,5,40692.010683265595
6,5,40692.010683265595
6,6,40308.29100235942
6,6,40308.29100235942
6,7,40190.938277839494
6,7,40190.938277839494
7,0,45101.05447121478
7,0,45101.05447121478
7,1,43197.162456652215
7,1,43197.162456652215
7,2,45112.02912387122
7,2,45112.02912387122
7,3,43293.06299299005
7,3,43293.06299299005
7,4,40524.14698278559
7,4,40524.14698278559
7,5,40608.719109554935
7,5,40608.719109554935
7,6,40224.667983669744
7,6,40224.667983669744
7,7,40106.907868661845
7,7,40106.907868661845
0,0,49851.78567096582
0,0,49851.78567096582
0,1,48010.87682600403
0,1,48010.87682600403
0,2,49863.619375784605
0,2,49863.619375784605
0,3,48137.92821944955
0,3,48137.92821944955
0,4,45370.62264708369
0,4,45370.62264708369
0,5,45455.402730230664
0,5,45455.402730230664
0,6,45066.50515898218
0,6,45066.50515898218
0,7,44933.68282275652
0,7,44933.68282275652
1,0,49816.530654569986
1,0,49816.530654569986
1,1,47980.70381402612
1,1,47980.70381402612
1,2,49835.757632612505
1,2,49835.757632612505
1,3,48120.24553243594
1,3,48120.24553243594
1,4,45359.430703687074
1,4,45359.430703687074
1,5,45449.1747333712
1,5,45449.1747333712
1,6,45080.82047104546
1,6,45080.82047104546
1,7,45006.42187048086
1,7,45006.42187048086
2,0,50686.45256975321
2,0,50686.45256975321
2,1,48886.487635482044
2,1,48886.487635482044
2,2,50750.04517119105
2,2,50750.04517119105
2,3,49108.01352293498
2,3,49108.01352293498
2,4,47059.94216970892
2,4,47059.94216970892
2,5,47344.02411425221
2,5,47344.02411425221
2,6,46978.44114366424
2,6,46978.44114366424
2,7,46877.26137961988
2,7,46877.26137961988
3,0,52142.24397832718
3,0,52142.24397832718
3,1,50379.64394219708
3,1,50379.64394219708
3,2,52323.583469266254
3,2,52323.583469266254
3,3,50511.908355831016
3,3,50511.908355831016
3,4,46275.84413610999
3,4,46275.84413610999
3,5,46482.44075850595
3,5,46482.44075850595
3,6,46333.741661041735
3,6,46333.741661041735
3,7,46294.783054813954
3,7,46294.783054813954
4,0,45509.46836208817
4,0,45509.46836208817
4,1,43605.92245073938
4,1,43605.92245073938
4,2,45508.45027362296
4,2,45508.45027362296
4,3,43682.24820347924
4,3,43682.24820347924
4,4,40901.58763284852
4,4,40901.58763284852
4,5,40987.09417476195
4,5,40987.09417476195
4,6,40602.894638991806
4,6,40602.894638991806
4,7,40485.02406018812
4,7,40485.02406018812
5,0,45575.13773807359
5,0,45575.13773807359
5,1,43669.30429622525
5,1,43669.30429622525
5,2,45582.18023910965
5,2,45582.18023910965
5,3,43764.27280500629
5,3,43764.27280500629
5,4,40978.736417516746
5,4,40978.736417516746
5,5,41062.845650692456
5,5,41062.845650692456
5,6,40679.0430439625
5,6,40679.0430439625
5,7,40561.600270901814
5,7,40561.600270901814
6,0,45187.437698451315
6,0,45187.437698451315
6,1,43297.185365150566
6,1,43297.185365150566
6,2,45193.184539714064
6,2,45193.184539714064
6,3,43401.111542273466
6,3,43401.111542273466
6,4,40604.870658185224
6,4,40604.870658185224
6,5,40689.25234044485
6,5,40689.25234044485
