timestamp,row_index,col_index,capacitance_pF
0.35520195960998535,0,0,1356.255
0.4246959686279297,0,1,1356.219
0.4941399097442627,0,2,1356.22
0.5649118423461914,0,3,1356.235
0.6373229026794434,0,4,1356.281
0.7026448249816895,0,5,1356.302
0.7727038860321045,0,6,1356.273
0.8422188758850098,0,7,1356.284
0.9122238159179688,1,0,1356.256
0.9821069240570068,1,1,1356.234
1.0515739917755127,1,2,1356.301
1.1203088760375977,1,3,1356.204
1.1905698776245117,1,4,1356.384
1.2600078582763672,1,5,1356.267
1.3300459384918213,1,6,1356.346
1.4018449783325195,1,7,1356.319
1.468432903289795,2,0,1356.213
1.5379588603973389,2,1,1356.325
1.6081209182739258,2,2,1356.305
1.6797759532928467,2,3,1356.325
1.7471039295196533,2,4,1356.362
1.8165271282196045,2,5,1356.368
1.8860828876495361,2,6,1356.442
1.9556448459625244,2,7,1356.361
2.027247905731201,3,0,1356.325
2.095350980758667,3,1,1356.223
2.1647558212280273,3,2,1356.279
2.2343668937683105,3,3,1356.277
2.3038229942321777,3,4,1356.379
2.374253034591675,3,5,1356.337
2.442988872528076,3,6,1356.3
2.513061761856079,3,7,1356.322
2.582458019256592,4,0,1356.236
2.6520378589630127,4,1,1356.308
2.7214457988739014,4,2,1356.294
2.792728900909424,4,3,1356.283
2.8622348308563232,4,4,1356.346
2.9305419921875,4,5,1356.38
3.0001111030578613,4,6,1356.433
3.069546937942505,4,7,1356.248
3.1415557861328125,5,0,1356.218
3.2085659503936768,5,1,1356.279
3.2781338691711426,5,2,1356.19
3.3482539653778076,5,3,1356.172
3.417818784713745,5,4,1356.271
3.4904308319091797,5,5,1356.246
3.556851863861084,5,6,1356.296
3.6262400150299072,5,7,1356.291
3.6958210468292236,6,0,1356.228
3.7659740447998047,6,1,1356.194
3.836021900177002,6,2,1356.218
3.905946731567383,6,3,1356.206
3.974449872970581,6,4,1356.309
4.044529914855957,6,5,1356.263
4.11337685585022,6,6,1356.293
4.183692932128906,6,7,1356.314
4.2544779777526855,7,0,1356.257
4.322749853134155,7,1,1356.277
4.39207911491394,7,2,1356.388
4.461703777313232,7,3,1356.277
4.531075954437256,7,4,1356.465
4.605733871459961,7,5,1356.341
4.670732021331787,7,6,1356.309
4.7401769161224365,7,7,1356.356
4.857245922088623,0,0,1356.143
4.926191091537476,0,1,1356.177
4.995766878128052,0,2,1356.283
5.065366983413696,0,3,1356.172
5.134774923324585,0,4,1356.314
5.204396963119507,0,5,1356.281
5.274317026138306,0,6,1356.285
5.3463358879089355,0,7,1356.354
5.41293478012085,1,0,1356.218
5.4825239181518555,1,1,1356.235
5.552816867828369,1,2,1356.243
5.6227099895477295,1,3,1356.318
5.692302942276001,1,4,1356.367
5.761357069015503,1,5,1356.36
5.830761909484863,1,6,1356.293
5.90031886100769,1,7,1356.256
5.971714973449707,2,0,1356.216
6.040357828140259,2,1,1356.242
6.110650062561035,2,2,1356.239
6.179165840148926,2,3,1356.232
6.248727083206177,2,4,1356.268
6.318130970001221,2,5,1356.173
6.388658761978149,2,6,1356.346
6.460875034332275,2,7,1356.252
6.526813983917236,3,0,1356.226
6.59643292427063,3,1,1356.174
6.665827989578247,3,2,1356.17
6.735675811767578,3,3,1356.165
6.805727958679199,3,4,1356.22
6.87510085105896,3,5,1356.256
6.944734811782837,3,6,1356.186
7.014277935028076,3,7,1356.226
7.08466100692749,4,0,1356.202
7.15363883972168,4,1,1356.196
7.224858045578003,4,2,1356.138
7.292428970336914,4,3,1356.194
7.36183500289917,4,4,1356.267
7.432100057601929,4,5,1356.244
7.503528833389282,4,6,1356.298
7.571185827255249,4,7,1356.286
7.640672922134399,5,0,1356.206
7.71021294593811,5,1,1356.145
7.779815912246704,5,2,1356.247
7.851444959640503,5,3,1356.215
7.919654846191406,5,4,1356.326
7.990017890930176,5,5,1356.321
8.057937860488892,5,6,1356.276
8.128198862075806,5,7,1356.361
8.197602987289429,6,0,1356.224
8.267818927764893,6,1,1356.235
8.340458869934082,6,2,1356.224
8.406311750411987,6,3,1356.201
8.475905895233154,6,4,1356.348
8.545468807220459,6,5,1356.379
8.615750789642334,6,6,1356.374
8.68442702293396,6,7,1356.346
8.754685878753662,7,0,1356.306
8.824252843856812,7,1,1356.257
8.893627882003784,7,2,1356.248
8.964702844619751,7,3,1356.284
9.03327488899231,7,4,1356.317
9.102815866470337,7,5,1356.303
9.171756029129028,7,6,1356.302
9.241285800933838,7,7,1356.33
9.357765913009644,0,0,1356.256
9.427268028259277,0,1,1356.275
9.498500108718872,0,2,1356.265
9.566291809082031,0,3,1356.343
9.635689973831177,0,4,1356.417
9.70527696609497,0,5,1356.389
9.775553941726685,0,6,1356.341
9.846390008926392,0,7,1356.387
9.91469693183899,1,0,1356.323
