Condition,Average SNR,Lowest SNR Pose,Lowest SNR Value,Highest Std Pose,Highest Std Value
20250911_node1_node4,0.6006885504162962,1,-1.8430327382061096,5,162.57022065315297
20250911_node1_node5,0.721638118381175,1,-2.756197645618931,5,173.6144539563823
20250911_node1_node6,0.6532373428835649,1,-1.2877822802900905,5,226.8938111990153
20250911_node2_node4,0.8319861838004909,1,-1.7081695494904046,5,127.70527942375774
20250911_node2_node5,0.6010287327299764,1,-0.9038582593320899,5,195.214218444774
20250911_node2_node6,0.39804272291350123,1,-1.6829838770885168,5,140.02044609467825
20250911_node3_node4,0.772235234985506,1,-1.6841017341636757,5,104.7221323658319
20250911_node3_node5,0.7301488362786601,1,-1.5073641772015502,5,126.4038875003544
20250911_node3_node6,0.81162682115385,1,-1.2129569522156378,5,70.82596441862495
