Time,Ch0_Avg,Ch1_Avg,Ch2_Avg,Ch3_Avg
110,31171.381326222225
111,31171.2592449
112,31171.446909777776
113,31171.28319488889
114,31171.41751825
115,31171.4586173
116,31171.575161555556
117,31171.963323777774
118,31173.034429799998
119,31177.29789722222
120,31200.386942200003
121,31250.226329444442
122,31325.166649222218
123,31320.118059399996
124,31175.78818825
125,31172.228580000003
126,31171.858387444445
127,31171.83652622222
128,31171.9553073
129,31172.83149233334
130,31174.725379500003
131,31186.10311311111
132,31249.945860777774
133,31344.75918422222
134,31186.04121575
135,31172.9845915
136,31171.917170888886
137,31171.934174222224
138,31171.8341945
139,31172.02259366667
140,31173.739316500003
141,31181.753292333335
142,31203.643264333336
143,31191.483704399998
144,31171.962839777774
145,31171.710895800003
146,31172.038625666664
147,31174.099648199997
148,31182.338777666664
149,31194.462514888888
150,31206.377051
151,31204.553879555555
152,31172.443808333333
153,31171.78357255556
154,31171.938546666668
155,31172.022641300002
156,31171.859359111113
157,31171.952635111113
158,31171.963323111107
159,31171.941461555558
160,31171.8556186
