Condition,Pose,Max ΔC (pF),Std ΔC (pF),SNR
20250911_node1_node4,1,0.7684253981624067,2.8936615909395584,0.2655546870333592
20250911_node1_node4,2,29.283105616993424,1.9026519733749012,15.39067891909386
20250911_node1_node4,3,68.00951342961883,12.40669632490966,5.481677930092647
20250911_node1_node4,4,86.371713411624,9.938535213423165,8.6905878539293
20250911_node1_node4,5,372.2460091370725,6.112147649950089,60.902653282616996
20250911_node1_node5,1,0.6137982329657632,1.6198146944132361,0.3789311426070908
20250911_node1_node5,2,26.211794948917685,7.051590580665305,3.717146457820109
20250911_node1_node5,3,112.6627566099935,10.810716659677382,10.421395746149878
20250911_node1_node5,4,130.19597206134355,12.91056620236165,10.084450985389596
20250911_node1_node5,5,431.9638855314711,6.038177033280931,71.53879112033209
20250911_node1_node6,1,0.7784646321841441,1.8172917011769751,0.42836526006252534
20250911_node1_node6,2,4.830335477361397,4.327285431997712,1.116250719595229
20250911_node1_node6,3,89.08977458208204,15.924026687968833,5.594676291857293
20250911_node1_node6,4,85.15299983026553,15.981114164608563,5.328351887933043
20250911_node1_node6,5,486.76336883350103,59.109224812205234,8.23498143276261
20250911_node2_node4,1,0.23360560260762972,1.3496871228941525,0.17308130058076426
20250911_node2_node4,2,34.617441142489874,8.6582796066871,3.9981893303322726
20250911_node2_node4,3,104.55354914145512,1.44454192800124,72.37834161457816
20250911_node2_node4,4,128.92460044458832,8.269156228418879,15.591022455411949
20250911_node2_node4,5,295.31118816524736,19.519620181180795,15.128941312595929
20250911_node2_node5,1,0.6729815080421228,6.845535565519054,0.09830954811365367
20250911_node2_node5,2,39.82835601237796,13.26481114103591,3.0025573367694083
20250911_node2_node5,3,202.1608999251376,29.745595497257973,6.7963305674540395
20250911_node2_node5,4,177.6231881699429,9.862426577138663,18.01008978679523
20250911_node2_node5,5,423.057096791323,102.94296443573155,4.109626132395306
20250911_node2_node6,1,-2.230301392404082,8.728898434236818,0.25550777216702497
20250911_node2_node6,2,-6.0835966770350565,9.617823600997816,0.6325336094128305
20250911_node2_node6,3,166.19209249477467,9.780537890557433,16.99212194200729
20250911_node2_node6,4,153.43483763249768,15.50860609195316,9.893528581663398
20250911_node2_node6,5,320.5186593368842,22.49764229344971,14.246766623638807
20250911_node3_node4,1,0.4832976435861269,2.831943316384207,0.1706593634095741
20250911_node3_node4,2,106.05469984387823,7.293556687832377,14.54087551287647
20250911_node3_node4,3,47.079168699909665,4.1928008896755,11.228572483811256
20250911_node3_node4,4,86.06844825666361,14.428064464211339,5.965349577564994
20250911_node3_node4,5,230.42084273998685,23.521106825470365,9.796343533054763
20250911_node3_node5,1,-2.1542537758872036,5.566571991930552,0.38699827811623855
20250911_node3_node5,2,128.02926710260647,8.574268873795264,14.931799898868386
20250911_node3_node5,3,158.06718781861764,11.004685280479391,14.363626381847046
20250911_node3_node5,4,171.69558179936095,28.144068656282716,6.1005956138126685
20250911_node3_node5,5,278.9856775762591,9.792104117858525,28.490881450847116
20250911_node3_node6,1,0.6523342065717088,14.341386180284344,0.04548613351396239
20250911_node3_node6,2,21.71504758594146,8.387982485224663,2.5888284368967476
20250911_node3_node6,3,94.50322349182765,5.81441327412523,16.253269080885126
20250911_node3_node6,4,183.4909668415087,3.4420702345526046,53.30831573381843
20250911_node3_node6,5,169.74770725632743,5.282741681793696,32.132501924396855
